ch_immed,ch_delay,ad_immed,ad_delay,ch_diff,ad_diff
57,57,94.375,95.625,0,1.25
47,51,93.75,96.25,4,2.5
51,45,68.75,66.25,-6,-2.5
61,64,93.75,98.125,3,4.38
10,13,78.125,71.875,3,-6.25
39,40,74.375,79.375,1,5
60,52,98.75,98.75,-8,0
24,22,65,62.5,-2,-2.5
50,43,94.375,96.875,-7,2.5
30,30,80,77.5,0,-2.5
28,27,46.25,39.375,-1,-6.88
14,16,10,7.5,2,-2.5
80,76,80,83.125,-4,3.13
32,32,81.25,84.375,0,3.13
75,66,88.75,88.75,-9,0
65,71,58.75,57.5,6,-1.25
96,100,98.75,98.75,4,0
59,38,90.625,86.875,-21,-3.75
46,30,86.875,90.625,-16,3.75
73,71,91.25,90.625,-2,-0.63
73,62,91.25,92.5,-11,1.25
31,27,31.25,35.625,-4,4.38
66,70,90.625,92.5,4,1.88
12,14,18.75,16.25,2,-2.5
51,50,76.875,70,-1,-6.88
49,46,32.5,27.5,-3,-5
73,78,68.75,65.625,5,-3.13
71,69,75,77.5,-2,2.5
36,34,61.25,61.25,-2,0
76,64,74.375,69.375,-12,-5
60,57,69.375,64.375,-3,-5
72,72,94.375,88.75,0,-5.63
53,52,68.75,72.5,-1,3.75
