retention,F3,Fz,F4,C3,Cz,C4,P3,Pz,P4,O1,O2
-8.666666667,0.191591737,0.147454207,0.195880872,0.025487244,0.023772036,0.024875617,0.123721051,0.179025199,0.125342589,0.077592453,0.016256898
10.83333333,0.219302801,0.134913388,0.170319576,0.055604339,0.096189256,0.090483663,0.066166011,0.084019132,0.099486421,0.015050304,0.123349688
-0.666666667,0.04386793,0.073916717,0.053912336,0.020920887,0.032165752,0.017328269,0.073790296,0.033296646,0.071834474,0.150081542,0.067076018
-10.16666667,0.157701759,0.214823478,0.187304215,0.049351801,0.081381511,0.040634761,0.090937442,0.065430052,0.026600669,0.05642023,0.01373012
6.666666667,0.225730546,0.079534379,0.182756077,0.02352641,0.089225887,0.108956063,0.110554519,0.197395483,0.078442347,0.128093868,0.095818075
-3.5,0.07524368,0.19718974,0.154081449,0.024608879,0.112464755,0.038674029,0.01958865,0.057787357,0.02544931,0.043853343,0.096988553
1.666666667,0.229899314,0.254037555,0.22475774,0.100186517,0.156457715,0.112674951,0.018257035,0.129991092,0.035107955,0.064132595,0.07758817
-15.5,0.17516715,0.235561456,0.185676529,0.042836797,0.103122119,0.05574891,0.136389535,0.303641413,0.134658044,0.14577259,0.13590287
-0.166666667,0.040209768,0.096280407,0.049037041,0.033984543,0.041648312,0.082854489,0.049815559,0.026923059,0.087492286,0.076321571,0.041218128
-4,0.162659357,0.049889687,0.124554714,0.015390664,0.094314597,0.025250398,0.165888255,0.091299953,0.087911421,0.086894757,0.102417789
-10.83333333,0.101141538,0.142336719,0.11431958,0.023581034,0.117828115,0.048865001,0.048459113,0.138805827,0.006857132,0.083287627,0.032458235
-3.166666667,0.099299461,0.020044782,0.07852938,0.010144008,0.034833259,0.035826864,0.137273595,0.077303014,0.054285904,0.046956414,0.024121019
1.166666667,0.144978097,0.086202617,0.117281509,0.083957579,0.070908984,0.053397906,0.109775984,0.07855036,0.052951578,0.08402769,0.022148459
-1.333333333,0.068935929,0.06721197,0.049438908,0.002582812,0.031629974,0.034275894,0.110964219,0.056916134,0.070578922,0.048933223,0.038289514
7.333333333,0.201665787,0.133024724,0.210982217,0.101043783,0.251290128,0.143275482,0.095939976,0.088279357,0.084529225,0.080000179,0.089572457
2.833333333,0.175554567,0.101208921,0.13853588,0.080717976,0.226497602,0.123224947,0.003712529,0.110209197,0.057755453,0.0342136,0.029583773
5.166666667,0.161785752,0.136444555,0.17779413,0.169253766,0.127349239,0.099882134,0.07273078,0.060994862,0.034926856,0.046902009,0.059545139
