"Sub,Sequence,Condition,Time,Gain_RT"
"OL_01,1, react,early,2.433044321"
"OL_01,1, react,late,32.98969515"
"OL_01,2, notReact,early,-51.22715521"
"OL_01,2, notReact,late,-11.22803085"
"OL_02,1, react,early,28.51410225"
"OL_02,1, react,late,39.60306599"
"OL_02,2, notReact,early,17.35958507"
"OL_02,2, notReact,late,26.01940366"
"OL_03,1, react,early,22.24410261"
"OL_03,1, react,late,42.05224178"
"OL_03,2, notReact,early,15.03235144"
"OL_03,2, notReact,late,41.00677232"
"OL_04,1, react,early,-12.0019058"
"OL_04,1, react,late,12.08525645"
"OL_04,2, notReact,early,-9.034801121"
"OL_04,2, notReact,late,5.703278404"
"OL_05,1, react,early,4.647581823"
"OL_05,1, react,late,24.20317806"
"OL_05,2, notReact,early,-3.29757491"
"OL_05,2, notReact,late,35.50529208"
"OL_06,1, react,early,15.20983382"
"OL_06,1, react,late,28.24923626"
"OL_06,2, notReact,early,-18.08009192"
"OL_06,2, notReact,late,16.55252429"
"OL_07,1, notReact,early,-31.06413226"
"OL_07,1, notReact,late,-13.52197282"
"OL_07,2, react,early,-21.80228094"
"OL_07,2, react,late,27.03021386"
"OL_08,1, notReact,early,34.51770583"
"OL_08,1, notReact,late,46.45256957"
"OL_08,2, react,early,25.11455941"
"OL_08,2, react,late,42.14240477"
"OL_09,1, notReact,early,-1.89730793"
"OL_09,1, notReact,late,9.138240973"
"OL_09,2, react,early,-17.13819165"
"OL_09,2, react,late,-2.336773155"
"OL_10,1, notReact,early,8.379694045"
"OL_10,1, notReact,late,3.744129057"
"OL_10,2, react,early,-12.43789129"
"OL_10,2, react,late,-4.461602974"
"OL_11,1, notReact,early,-6.723140746"
"OL_11,1, notReact,late,26.28170887"
"OL_11,2, react,early,7.749498755"
"OL_11,2, react,late,17.39283276"
"OL_12,1, notReact,early,-0.234635805"
"OL_12,1, notReact,late,16.78983153"
"OL_12,2, react,early,3.024940526"
"OL_12,2, react,late,40.97971597"
"OL_13,1, react,early,-43.94551513"
"OL_13,1, react,late,-23.65985862"
"OL_13,2, notReact,early,-106.5677512"
"OL_13,2, notReact,late,-52.57206132"
"OL_14,1, react,early,1.008957498"
"OL_14,1, react,late,6.187005566"
"OL_14,2, notReact,early,-15.1662246"
"OL_14,2, notReact,late,10.08935562"
"OL_15,1, react,early,12.58116028"
"OL_15,1, react,late,8.20345326"
"OL_15,2, notReact,early,11.44928877"
"OL_15,2, notReact,late,6.593126095"
"OL_16,1, react,early,20.62150129"
"OL_16,1, react,late,38.08181936"
"OL_16,2, notReact,early,5.880436526"
"OL_16,2, notReact,late,26.74063647"
"OL_17,1, react,early,1.799852855"
"OL_17,1, react,late,24.66316796"
"OL_17,2, notReact,early,-7.562173126"
"OL_17,2, notReact,late,-16.72484784"
"OL_18,1, react,early,9.903953248"
"OL_18,1, react,late,24.01244623"
"OL_18,2, notReact,early,-4.894602043"
"OL_18,2, notReact,late,14.79856542"
"OL_19,1, notReact,early,30.78237934"
"OL_19,1, notReact,late,19.70482931"
"OL_19,2, react,early,6.379400591"
"OL_19,2, react,late,17.16163528"
"OL_20,1, notReact,early,0.140027797"
"OL_20,1, notReact,late,19.91156185"
"OL_20,2, react,early,-3.90031509"
"OL_20,2, react,late,14.12349469"
"OL_21,1, notReact,early,0.289012225"
"OL_21,1, notReact,late,3.470131074"
"OL_21,2, react,early,5.603654403"
"OL_21,2, react,late,12.55637153"
"OL_22,1, notReact,early,10.35641003"
"OL_22,1, notReact,late,35.91833381"
"OL_22,2, react,early,2.793689236"
"OL_22,2, react,late,34.5021838"
"OL_23,1, notReact,early,2.604461824"
"OL_23,1, notReact,late,1.568008904"
"OL_23,2, react,early,22.32712414"
"OL_23,2, react,late,10.68716181"
"OL_24,1, notReact,early,6.302842426"
"OL_24,1, notReact,late,21.22960466"
"OL_24,2, react,early,-9.606210023"
"OL_24,2, react,late,8.262828089"
