phase,improvement
-1.25,2
-0.701388889,2
-0.340277778,0.026315789
-0.222222222,-1.986842105
0.208333333,-1.986842105
0.097222222,-1
-0.180555556,1.052631579
-0.111111111,1.013157895
-0.118055556,1.013157895
-0.166666667,2
-0.145833333,2
-0.090277778,2
-0.159722222,2.986842105
0.125,2.986842105
-0.145833333,4.013157895
-0.041666667,5
0.409722222,5.039473684
-0.159722222,8.986842105
-1.222222222,8
-1.923611111,9.973684211
-0.472222222,10.01315789
-1.0625,13.01315789
-0.458333333,13.01315789
-0.159722222,14
0.097222222,11.98684211
-0.131944444,0.973684211
-0.118055556,2
-0.125,1.960526316
